algoritmo,size_mb,k_datos,m_paridad,num_objects,avg_encoding_s,std_encoding_s,avg_decoding_s,std_decoding_s,avg_io_write_s,std_io_write_s,avg_io_read_s,std_io_read_s
RS,1,4,2,31,0.001311,0.000107,0.000140,0.000068,0.000571,0.000029,0.000201,0.000072
RS,10,4,2,31,0.013123,0.000783,0.001905,0.000685,0.006144,0.000347,0.002214,0.000601
RS,50,4,2,31,0.065507,0.005617,0.015776,0.005545,0.129184,0.211877,0.020226,0.004236
RS,100,4,2,31,0.129876,0.008974,0.034682,0.009105,0.320339,0.350705,0.041748,0.009099
RS,1000,4,2,31,1.598165,0.008238,0.396893,0.011533,3.628495,3.253140,0.414788,0.011075
RS,1,8,4,31,0.002388,0.000067,0.000145,0.000080,0.000571,0.000034,0.000193,0.000047
RS,10,8,4,31,0.023529,0.000187,0.001884,0.000553,0.006355,0.000194,0.002030,0.000232
RS,50,8,4,31,0.117579,0.003834,0.017252,0.004854,0.031339,0.005829,0.020829,0.003745
RS,100,8,4,31,0.233121,0.005112,0.038295,0.000534,0.326372,0.320103,0.045725,0.005431
RS,1000,8,4,31,2.683501,0.005793,0.396729,0.010656,3.732370,3.143203,0.414564,0.008157
RS,1,10,4,31,0.002378,0.000024,0.000134,0.000067,0.000566,0.000033,0.000189,0.000045
RS,10,10,4,31,0.023406,0.000039,0.001833,0.000563,0.006372,0.000184,0.002139,0.000538
RS,50,10,4,31,0.115695,0.003133,0.017403,0.004722,0.031570,0.006230,0.021002,0.003680
RS,100,10,4,31,0.231404,0.004491,0.038523,0.000476,0.344851,0.361961,0.044409,0.000794
RS,1000,10,4,31,2.656606,0.007925,0.398887,0.010318,3.965036,3.386754,0.417504,0.007390
